"Nummer","Datum","Art","Geschäft","URL","Date"
"566/2024","06.05.2024","Anfrage","Anfrage 566/2024 von Daniel Schnyder (SVP), Marc Thalmann (FDP) und Dieter Hohmann (SVP): «Generelle Leistungsüberprüfung: Wie werden die städtischen Leistungen überprüft und stetig optimiert?»","https://www.uster.ch/_rte/information/2136190","2024-05-06"
"565/2024","22.04.2024","Anfrage","Anfrage 565/2024 von Paul Stopper (BPU): Stadtrat lehnte 2016 Einbau Kläui-Bibliothek / Stadtarchiv in die &quot;Untere Farb&quot; selber ab (Stadtratsbeschluss 358/2016)","https://www.uster.ch/_rte/information/2122621","2024-04-22"
"564/2024","19.04.2024","Anfrage","Anfrage 564/2024 von Paul Stopper (BPU): &quot;Paul-Kläui-Bibliothek / Stadtarchiv / Untere Farb&quot;","https://www.uster.ch/_rte/information/2122123","2024-04-19"
"51/2024","09.04.2024","Volksinitiative","Weisung 51/2024 des Stadtrates: Volksinitiative &quot;Zusammenführen, was zusammengehört&quot; - Grenzänderung Uster-Greifensee","https://www.uster.ch/_rte/information/2113408","2024-04-09"
"70/2024","09.04.2024","Antrag","Weisung 70/2024 des Stadtrates: Notstromkonzept Stadt Uster, Bauabrechnung","https://www.uster.ch/_rte/information/2119981","2024-04-09"
"563/2024","04.04.2024","Parlamentarische Initiative","Parlamentarische Initiative 563/2024 von Daniel Schnyder (SVP), Marc Thalmann (FDP), Ursula Räuftlin (Grünliberale) und Paul Stopper (BPU): &quot;Teuerungsausgleich - mehr Mitspracherecht für den Gemeinderat&quot;","https://www.uster.ch/_rte/information/2109838","2024-04-04"
"562/2024","27.03.2024","Anfrage","Anfrage 562/2024 von Balthasar Thalmann (SP): «Winterthurerstrasse in städtebauliches Konzept integrieren – Wunsch oder Realität?»","https://www.uster.ch/_rte/information/2105236","2024-03-27"
"54/2024","26.03.2024","Antrag","Weisung  54/2024 der Primarschulpflege: Schulhaus Gschwader, Baukredit","https://www.uster.ch/_rte/information/2103781","2024-03-26"
"65/2024","26.03.2024","Antrag","Weisung 65/2024 des Stadtrates: Jahresrechnung 2023","https://www.uster.ch/_rte/information/2105086","2024-03-26"
"58/2024","25.03.2024","Antrag","Weisung 58/2024 des Stadtrates: NPM-Jahresbericht 2023","https://www.uster.ch/_rte/information/2105248","2024-03-25"
"561/2024","22.03.2024","Anfrage","Anfrage 561/2024 von Karin Niedermann Schneider (SP): Biber am Greifensee","https://www.uster.ch/_rte/information/2102332","2024-03-22"
