"Vorname","Name","Fraktion","Partei","von","bis","aktiv","twitter","Bemerkung"
"Giuseppe","Biacchi","SVP_EDU","SVP","1970-01-01","2022-07-31","ehemalig","@SVPUster",""
"Claudia","Bekier","SVP_EDU","SVP","1970-01-01","2018-07-31","ehemalig","@SVPUster",""
"Bruno","Modolo","SVP_EDU","SVP","1970-01-01","2018-07-31","ehemalig","@SVPUster",""
"Gabriela","Seiler","SVP_EDU","SVP","1970-01-01","2018-07-31","ehemalig","@SVPUster",""
"Deborah","Bernhard","SVP_EDU","SVP","1970-01-01","2018-07-31","ehemalig","@SVPUster",""
"Roman","Ehrbar","SVP_EDU","SVP","1970-01-01","2018-07-31","ehemalig","@SVPUster",""
"Werner","Egli","SVP_EDU","SVP","1970-01-01","2014-07-31","ehemalig","@SVPUster",""
"Rudolf","Gysi","SVP_EDU","SVP","1970-01-01","2014-07-31","ehemalig","@SVPUster",""
"Jean-François","Rossier","SVP_EDU","SVP","1970-01-01","2014-07-31","ehemalig","@SVPUster",""
"Jean Claude","Simmen","SVP_EDU","SVP","1970-01-01","2014-07-31","ehemalig","@SVPUster",""
"Stefan","Kern","SVP_EDU","SVP","1970-01-01","2014-07-31","ehemalig","@SVPUster",""
"Pascal","Bischof","SVP_EDU","SVP","1970-01-01","2014-07-31","ehemalig","@SVPUster",""
"Thomas","Rüegger","SVP_EDU","SVP","1970-01-01","2014-07-31","ehemalig","@SVPUster",""
"Christoph","Daeniker","SP","SP","1970-01-01","2022-07-31","ehemalig","#SP Uster",""
"Patricia","Morf","SP","SP","1970-01-01","2022-07-31","ehemalig","#SP Uster",""
"Salome","Schaerer","SP","SP","1970-01-01","2022-07-31","ehemalig","#SP Uster",""
"Claudia","Frei","GLP_EVP","GLP","1970-01-01","2026-07-31","aktiv","@CWyssen","Name nach Hochzeit angepasst, in Geschäften vor Eheschliessung (2021) weiterhin der Ledig-Namen (Claudia Wyssen). CW ist 2018 aus dem GR (damals noch SP) ausgeschieden und 2022-05-09 wieder eingetreten (als GLP)."
"Julia","Amherd","SP","SP","1970-01-01","2018-07-31","ehemalig","#SP Uster",""
"Strucken","Walter","SP","SP","1970-01-01","2018-07-31","ehemalig","#SP Uster",""
"Seyhan","Kâhya","SP","SP","1970-01-01","2018-07-31","ehemalig","#SP Uster",""
"Kathrin","Agosti","SP","SP","1970-01-01","2018-07-31","ehemalig","#SP Uster",""
"Rolf","Graf-Ganz","SP","SP","1970-01-01","2014-07-31","ehemalig","#SP Uster",""
"Peter","Grob","SP","SP","1970-01-01","2014-07-31","ehemalig","#SP Uster",""
"Lucia","Thaler","SP","SP","1970-01-01","2014-07-31","ehemalig","#SP Uster",""
"Regula","Trüeb","SP","SP","1970-01-01","2014-07-31","ehemalig","#SP Uster",""
"Benno","Scherrer","GLP_EVP","GLP","1970-01-01","2014-07-31","ehemalig","@BennoScherrer",""
"Daniel","Hunziker","GLP_EVP","GLP","1970-01-01","2014-07-31","ehemalig","#glp Uster",""
"Beatrice","Mischol","GLP_EVP","GLP","1970-01-01","2022-07-31","ehemalig","#glp Uster",""
"Raoul","Stöckle","GLP_EVP","GLP","1970-01-01","2014-07-31","ehemalig","#glp Uster",""
"Jürg","Gösken","GLP_EVP","GLP","1970-01-01","2018-07-31","ehemalig","#glp Uster",""
"Larissa","Weile","GP","GP","1970-01-01","2022-07-31","ehemalig","@GrueneUster",""
"Thomas","Wüthrich","GP","GP","1970-01-01","2022-07-31","ehemalig","@GrueneUster",""
"Meret","Schneider","GP","GP","1970-01-01","2022-07-31","ehemalig","@Schneimere",""
"Simone","Michel","GP","GP","1970-01-01","2014-07-31","ehemalig","@GrueneUster",""
"Markus","Bürki","GP","GP","1970-01-01","2014-07-31","ehemalig","@GrueneUster",""
"Daniel","Pellegrini","FDP_MITTE","FDP","1970-01-01","2022-07-31","ehemalig","@fdp_uster",""
"Rudolf","Locher","FDP_MITTE","FDP","1970-01-01","2018-07-31","ehemalig","@fdp_uster",""
"Marianne","Siegrist","FDP_MITTE","FDP","1970-01-01","2018-07-31","ehemalig","@fdp_uster",""
"Petra","Bättig","FDP_MITTE","FDP","1970-01-01","2014-07-31","ehemalig","@petrabaettig",""
"Cla","Famos","FDP_MITTE","FDP","1970-01-01","2014-07-31","ehemalig","@FamosCla",""
"Richard","Sägesser","FDP_MITTE","FDP","1970-01-01","2022-07-31","ehemalig","@fdp_uster",""
"Peter","Wüthrich","GLP_EVP","EVP","1970-01-01","2014-07-31","ehemalig","#EVP Uster",""
"Beat","Roos","GLP_EVP","MITTE","1970-01-01","2014-07-31","ehemalig","#CVP Uster",""
"Wolfgang","Harder","GLP_EVP","MITTE","1970-01-01","2022-07-31","ehemalig","@harderwolfgang",""
"Hilda","Schelldorfer","SVP_EDU","EDU","1970-01-01","2018-07-31","ehemalig","#EDU Uster",""
"Karin","Niedermann","SP","SP","1970-01-01","2024-04-30","ehemalig","#SP Uster",""
"Anita","Borer","SVP_EDU","SVP","1970-01-01","2026-07-31","aktiv","@AnitaBorer",""
"Jürg","Krauer","FDP_MITTE","FDP","1970-01-01","2026-07-31","aktiv","@fdp_uster",""
