"Bildungspolitik","Finanzpolitik","Gesundheitspolitik","Infrastruktur","Kulturpolitik","Migrationspolitik","Raumplanung","Sicherheitspolitik","Sozialpolitik","Umweltpolitik","Verkehrspolitik","Wirtschaftspolitik"
0,0,0,1,3,0,0,0,0,0,1,0
8,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,4,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,2
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,4,3,0,1,0
2,0,3,0,0,0,0,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,1,2,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,4,3,0
0,2,0,0,0,0,0,0,2,3,0,0
7,0,0,2,0,0,0,0,0,0,2,0
1,2,0,1,1,0,0,1,0,3,3,1
0,0,0,4,4,0,1,4,2,0,2,0
0,0,2,1,0,0,0,0,2,0,1,0
0,0,0,1,0,0,0,0,0,3,0,0
0,0,1,0,0,2,0,1,0,0,1,0
1,0,0,0,0,0,0,0,2,0,0,0
0,0,1,2,2,1,0,0,2,4,8,0
1,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,0,0,6,0
8,0,0,0,0,0,0,0,1,5,1,0
2,0,2,0,0,0,0,0,0,0,0,0
1,2,1,1,1,0,0,2,0,0,2,1
5,0,0,3,1,0,2,0,0,0,2,0
2,1,0,0,0,0,0,0,6,0,0,0
0,2,0,2,0,1,0,2,2,0,0,0
5,1,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,2,0,0,0,4,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,3,0
7,2,0,2,3,0,0,0,1,0,0,1
2,0,0,1,1,0,0,0,0,0,1,1
3,0,0,2,0,0,0,1,2,1,1,1
10,0,2,3,2,0,0,0,7,1,12,0
3,0,2,10,7,1,1,1,5,0,2,4
1,0,1,2,0,0,0,0,0,0,3,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,2,1,0,0
0,0,0,3,1,0,0,0,0,2,0,0
1,1,0,1,0,0,0,0,0,0,1,0
0,0,0,2,0,0,0,0,0,2,0,0
1,1,0,2,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,3,0,0,0
1,0,0,0,0,0,0,0,1,0,2,0
1,1,1,1,0,0,0,0,3,4,5,2
1,0,0,0,0,0,0,0,2,0,0,0
1,0,0,1,1,0,0,0,1,0,0,1
0,0,0,4,3,0,0,0,0,0,0,2
0,0,0,2,1,0,0,0,1,0,0,1
0,1,0,0,2,0,0,0,0,0,0,0
1,0,2,3,4,2,0,3,8,0,3,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,2,0,0,0,0,1,0,0,0
0,0,0,1,2,0,0,0,3,1,2,0
2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0
1,0,0,1,1,1,0,0,6,0,1,0
0,0,1,1,0,0,0,0,0,0,2,0
0,0,0,0,0,1,0,1,1,1,0,0
3,0,1,14,5,0,7,1,0,1,29,3
0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,6,3,0,1,1,5,0,2,0
2,0,0,3,2,0,0,5,4,3,2,1
1,0,0,0,0,0,0,0,2,1,0,0
