"Stichwort","Kategorie","Politikfeld"
"kehrichtverwertung","Abfall und Umwelt","Infrastruktur"
"kezo","Abfall und Umwelt","Infrastruktur"
"recycling","Abfall und Umwelt","Umweltpolitik"
"sammelstelle","Abfall und Umwelt","Infrastruktur"
"umweltschutz","Abfall und Umwelt","Umweltpolitik"
"ara","Abwasser","Infrastruktur"
"senectute","Alter","Sozialpolitik"
"senior","Alter","Sozialpolitik"
"budget","Finanzen","Finanzpolitik"
"bibliothek","Bildung","Bildungspolitik"
"bildung","Bildung","Bildungspolitik"
"bürgerrecht","Bürgerrecht","Migrationspolitik"
"einbürgerung","Bürgerrecht","Migrationspolitik"
"energie","Energie","Umweltpolitik"
"erneuerbar","Energie","Umweltpolitik"
"strom","Energie","Umweltpolitik"
"finanzen","Finanzen","Finanzpolitik"
"drogen","Gesundheit","Gesundheitspolitik"
"gesundheit","Gesundheit","Gesundheitspolitik"
"krankenheim","Gesundheit","Gesundheitspolitik"
"spital","Gesundheit","Gesundheitspolitik"
"spitex","Gesundheit","Gesundheitspolitik"
"immobilien","Immobilien","Infrastruktur"
"informatik","Informatik","Infrastruktur"
"anlagen","Infrastruktur","Infrastruktur"
"areal","Infrastruktur","Infrastruktur"
"bau","Infrastruktur","Infrastruktur"
"behinderung","Inklusion","Sozialpolitik"
"inklusion","Inklusion","Sozialpolitik"
"integration","Integration und Migration","Migrationspolitik"
"migration","Integration und Migration","Migrationspolitik"
"ausländer","Integration und Migration","Migrationspolitik"
"migrant","Integration und Migration","Migrationspolitik"
"familie","Kindheit, Jugend und Familie","Sozialpolitik"
"jugend","Kindheit, Jugend und Familie","Sozialpolitik"
"kind","Kindheit, Jugend und Familie","Sozialpolitik"
"kultur","Kultur","Kulturpolitik"
"altherr","Kultur","Kulturpolitik"
"stadthofsaal","Kultur","Kulturpolitik"
"weihnachtsbeleuchtung","Kultur","Kulturpolitik"
"zeughaus","Kultur","Kulturpolitik"
"fussgänger","Mobilität und Verkehr","Verkehrspolitik"
"helmtragepflicht","Mobilität und Verkehr","Verkehrspolitik"
"mobilität","Mobilität und Verkehr","Verkehrspolitik"
"parkieren","Mobilität und Verkehr","Verkehrspolitik"
"parkplatz","Mobilität und Verkehr","Verkehrspolitik"
"parkplätze","Mobilität und Verkehr","Verkehrspolitik"
"radweg","Mobilität und Verkehr","Verkehrspolitik"
"unterführung","Mobilität und Verkehr","Verkehrspolitik"
"velo","Mobilität und Verkehr","Verkehrspolitik"
"verkehr","Mobilität und Verkehr","Verkehrspolitik"
"heilpädagogisch","Schule","Bildungspolitik"
"hpsu","Schule","Bildungspolitik"
"klassenzimmer","Schule","Bildungspolitik"
"primar","Schule","Bildungspolitik"
"psu","Schule","Bildungspolitik"
"schul","Schule","Bildungspolitik"
"sekundar","Schule","Bildungspolitik"
"sonderpädagogisch","Schule","Bildungspolitik"
"tagestrukturen","Schule","Bildungspolitik"
"unterricht","Schule","Bildungspolitik"
"bad","Sport","Gesundheitspolitik"
"buchholz","Sport","Gesundheitspolitik"
"fussball","Sport","Gesundheitspolitik"
"sport","Sport","Gesundheitspolitik"
"stadion","Sport","Gesundheitspolitik"
"turnhalle","Sport","Gesundheitspolitik"
"aufwertung","Stadtentwicklung","Raumplanung"
"gebiet","Stadtentwicklung","Raumplanung"
"gestaltungsplan","Stadtentwicklung","Raumplanung"
"stadtentwicklung","Stadtentwicklung","Raumplanung"
"stadtpark","Stadtentwicklung","Raumplanung"
"polizei","Stadtpolizei","Sicherheitspolitik"
"anlässe","Veranstaltungen","Sicherheitspolitik"
"märt","Veranstaltungen","Sicherheitspolitik"
"arbeitsplätze","Wirtschaft und Standort","Wirtschaftspolitik"
"wirtschaft","Wirtschaft und Standort","Wirtschaftspolitik"
"detailhandel","Wirtschaft und Standort","Wirtschaftspolitik"
"wohn","Wohnen","Sozialpolitik"
"freiwillig","Zivilgesellschaft","Sozialpolitik"
"gemeinnützig","Zivilgesellschaft","Sozialpolitik"
"verein","Zivilgesellschaft","Sozialpolitik"
"zivilgesellschaft","Zivilgesellschaft","Sozialpolitik"
"standortförderung","Wirtschaft und Standort","Wirtschaftspolitik"
"sicherheit","Stadtpolizei","Sicherheitspolitik"
"gewerbe","Wirtschaft und Standort","Wirtschaftspolitik"
"stek","Stadtentwicklung","Raumplanung"
"altherrturm","Kultur","Kulturpolitik"
"busbahnhof","Mobilität und Verkehr","Verkehrspolitik"
"sbb","Mobilität und Verkehr","Verkehrspolitik"
"sans-papiers","Integration und Migration","Migrationspolitik"
"zusatzleistung","soziales","Sozialpolitik"
"sozialhilfe","soziales","Sozialpolitik"
"museen","Kultur","Kulturpolitik"
"armut","soziales","Sozialpolitik"
"arbeitslos","soziales","Sozialpolitik"
"klima","Abfall und Umwelt","Umweltpolitik"
"kunst","kultur","Kulturpolitik"
"villa am aabach","kultur","Kulturpolitik"
"jahresrechnung","Finanzen","Finanzpolitik"
"steuer","Finanzen","Finanzpolitik"
"banking","Wirtschaft und Standort","Wirtschaftspolitik"
"frühe förderung","Kinder- und Jugendhilfe","Sozialpolitik"
"frühe förderung","vorschulalter","Bildungspolitik"
"zentrumsentwicklung","Stadtentwicklung","Raumplanung"
"musikschule","Schule","Bildungspolitik"
"sammelstelle","Abfall und Umwelt","Infrastruktur"
"tagesschule","Schule","Bildungspolitik"
"tempo-30","Mobilität und Verkehr","Verkehrspolitik"
